year   jan   feb   mar   apr   may   jun   jul   aug   sep   oct   nov   dec   win   spr   sum   aut   ann
1984  131.8   51.5   60.8   10.3   60.0   42.8   25.4   54.9  107.1   86.5  133.3   69.6   285.5   131.1   123.1   327.0   834.1
1985   68.8   25.0   61.1   63.1   64.2   87.4   68.2  103.9   42.3   40.3   70.4  114.5   163.4   188.3   259.6   153.1   809.2
1986  110.1   18.0   71.3   80.2   81.1   40.2   49.7  112.2   25.3   87.7  105.8  123.9   242.6   232.6   202.1   218.9   905.5
1987   28.4   51.6   81.8   60.7   45.4  102.4   73.1   67.6   58.5  153.1   72.1   52.1   203.9   187.9   243.0   283.6   846.7
1988  140.5   58.5   91.6   38.3   53.2   37.6  123.2   75.4   54.8   83.8   44.7   40.6   251.1   183.2   236.2   183.3   842.2
1989   39.3   77.7   78.9   80.8   19.3   53.3   36.4   52.8   37.5   84.3   52.8  123.5   157.6   178.9   142.5   174.7   736.7
1990  114.5  130.2   20.4   36.8   22.8   67.0   31.6   43.2   47.2   92.9   58.6   89.9   368.2    80.0   141.7   198.8   755.2
1991   82.9   59.2   66.7   60.6   13.8   90.7   64.2   26.4   58.5   64.4   86.1   45.5   232.0   141.1   181.2   209.1   719.0
1992   44.2   41.0   76.6   69.6   44.6   35.6   81.5  115.1   87.8   80.2  124.8   72.8   130.8   190.8   232.2   292.8   873.8
1993   98.2   13.9   23.9   90.0   79.9   59.3   77.0   50.5  110.6   89.8   66.1  144.8   184.9   193.8   186.8   266.4   903.8
1994  110.6   72.7   78.6   65.8   59.7   32.1   42.8   67.5   99.1   88.3   76.8  120.0   328.0   204.1   142.4   264.1   913.9
1995  144.9  100.6   62.4   24.9   43.7   21.8   34.3    9.7  108.9   47.4   73.7   79.4   365.6   131.0    65.8   230.1   751.8
1996   56.9   74.2   37.9   44.1   48.2   26.7   40.2   75.8   29.7   73.6  118.0   51.8   210.4   130.1   142.6   221.3   676.8
1997   14.2  102.3   27.7   22.2   67.8  122.9   47.0   86.5   29.2   62.4  102.5   98.4   168.3   117.7   256.4   194.1   783.1
1998  104.0   19.5   83.8  117.7   33.1  116.1   55.1   46.3   86.5  145.4   76.5   82.4   222.0   234.7   217.5   308.4   966.5
1999  118.5   44.1   67.4   68.8   54.8   83.5   23.8   99.8  107.6   74.5   55.8  137.2   244.9   191.0   207.0   237.8   935.5
2000   46.4   85.1   34.0  131.9   83.1   42.4   60.3   61.4  116.8  166.8  160.1  120.7   268.7   249.0   164.1   443.7  1109.1
2001   69.9   90.7   87.5   91.4   39.8   41.0   68.0   78.8   78.7  119.5   57.7   39.4   281.3   218.8   187.8   255.9   862.5
2002   81.4  120.8   46.7   46.5   84.9   54.5   84.7   65.8   34.5  122.9  142.0  121.8   241.6   178.1   204.9   299.3  1006.4
2003   81.3   34.9   32.7   40.3   66.0   66.6   67.8   16.3   32.9   51.6   93.4   90.5   238.0   139.0   150.7   178.0   674.2
2004  112.9   48.9   48.2   78.2   42.7   56.0   66.7  147.3   53.2  130.9   46.5   58.9   252.3   169.1   270.0   230.5   890.4
2005   58.5   45.8   48.3   68.1   45.1   53.6   63.0   58.0   62.8  106.0   74.9   61.6   163.3   161.4   174.6   243.7   745.7
2006   29.9   52.5   80.9   42.5  100.8   24.0   41.2   87.9   73.7  106.2   96.0  109.5   144.0   224.2   153.1   275.9   845.1
2007   95.7   93.8   56.2   10.6  107.2  145.8  124.7   53.8   44.0   45.0   70.1   86.2   299.1   174.0   324.4   159.1   933.3
2008  129.2   37.8   91.8   64.3   62.0   59.2  100.5  106.0   96.1   94.6   81.7   58.3   253.2   218.0   265.6   272.4   981.4
2009   82.3   52.6   41.0   39.7   54.3   54.9  128.6   59.5   30.0   67.7  170.8   93.1   193.2   135.0   243.0   268.6   874.6
2010   67.2   73.6   58.8   24.5   29.5   36.4   61.0   97.2   78.5   73.1   91.5   35.1   234.0   112.8   194.6   243.0   726.4
2011   78.6   77.9   19.3   11.6   48.3   69.9   59.4   78.2   54.3   62.8   48.7  103.8   191.6    79.1   207.5   165.8   712.7
2012   63.9   29.9   26.4  136.5   54.0  148.1  113.5   89.5   88.5  107.1  119.5  148.9   197.6   216.9   351.1   315.1  1125.9
2013   79.1   42.0   65.6   31.4   71.3   35.6   55.1   58.8   52.9  136.7   66.6  117.9   270.0   168.4   149.5   256.2   813.0
2014  160.0  123.4   49.1   53.1   95.7   46.3   51.6  107.4   15.0  102.8  104.4   74.6   401.3   197.9   205.3   222.3   983.4
2015   91.5   52.5   48.4   25.8   79.6   35.3   79.2   92.3   50.9   60.3  117.5  133.6   218.5   153.8   206.8   228.8   867.0
2016  124.2   72.5   78.3   62.4   51.3   95.4   39.8   64.3   62.5   36.4  100.2   35.6   330.4   192.0   199.5   199.0   822.9
2017   62.8   61.8   69.9   17.6   57.2   82.1   90.8   72.4   91.3   53.9   67.5   98.1   160.1   144.7   245.2   212.7   825.2
2018   90.4   48.7  103.1   78.3   45.0   14.6   36.0   66.4   59.4   64.8   89.7   98.9   237.1   226.3   117.0   214.0   795.2
2019   37.7   47.7   88.1   35.3   42.3  107.3   70.5   83.7  113.5  127.9  119.6  105.5   184.3   165.8   261.5   361.1   979.2
2020   74.2  160.9   50.7   28.8    9.6   91.2   66.2  114.7   47.8  144.3   64.2  137.1   340.6    89.0   272.2   256.3   989.6
2021  128.4   75.3   50.4   11.0  114.0   49.7   80.5   48.5   59.9  129.0   39.8   90.1   340.7   175.4   178.6   228.7   876.5
2022   31.7   96.7   41.9   24.7   50.7   45.0   23.1   34.8                               218.4   117.3   102.9
